Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Hindi Verification,Verification Notes,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
19,“,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,મારે,,એ,Agent,Agent,,,,0,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,ઓલવી,,,,,,,,,,,,,,,
,નાખવો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,Good,,,,,,,,,,,,,,,
,Morning,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20,દીવો,,,,,,,,,,,,,,,
,ઓલવીને,,,,,,,,,,,,,,,
,એણે,,એ,Agent,Agent,,,,1,,,,,,,
,તરત,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,સળગાવ્યો,,,,,,,,,,,,,,,
,પણ,,,,,,,,,,,,,,,
,ખરો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21,“,,,,,,,,,,,,,,,
,પણ,,પણ,`,,,,,,,,,,,,
,તમે,,,,,,,,,,,,,,,
,દીવાને,,ને,Theme,Theme,,,,0,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,0,,,,,,,
,કેમ,,,,,,,,,,,,,,,
,સળગાવ્યો,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22,“,,,,,,,,,,,,,,,
,એવો,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
23,“,,,,,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,કાંઈ,,,,,,,,,,,,,,,
,સમજાતું,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,1,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
24,“,,,,,,,,,,,,,,,
,આમાં,,માં,Topic,Topic,,,,4,They have Topic. 243,,,,,,
,સમજવા,,,,,,,,,,,,,,,
,જેવું,,,,,,,,,,,,,,,
,કાંઈ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,નથી,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,દીવા,,,,,,,,,,,,,,,
,સળગાવનારે,,એ,Originator,Agent,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,એટલે,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,Good,,,,,,,,,,,,,,,
,Morning,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25,અને,,,,,,,,,,,,,,,
,એણે,,એ,Agent,Agent,,,,1,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
26,પછી,,,,,,,,,,,,,,,
,એણે,,એ,Agent,Agent,,,,1,,,,,,,
,લાલ,,,,,,,,,,,,,,,
,ચોકડીવાળા,,વાળા,Characteristic,Characteristic,,,,5,Same SR 276,,,,,,
,રૂમાલથી,,થી,Instrument,Instrument,,,,1,,,,,,,
,પોતાનું,,નું,Whole,Whole,,,,3,Difference in pre-defined assumption,,,,,,
,કપાળ,,,,,,,,,,,,,,,
,લૂછયું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
27,“,,,,,,,,,,,,,,,
,મારો,,નો,Gestalt,Gestalt,,,,0,,,,,,,
,આ,,,,,,,,,,,,,,,
,વ્યવસાય,,,,,,,,,,,,,,,
,બહું,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,1,,,,,,,
,કંટાળાજનક,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
28,જુના,,,,,,,,,,,,,,,
,જમાનામાં,,માં,Time,Time,,,,5,Same ann,,,,,,
,એનો,,નો,Theme,Theme,,,,0,,,,,,,
,કાંઈક,,,,,,,,,,,,,,,
,અર્થ,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
29,સવારે,,એ,Time,Time,,,,0,,,,,,,
,હું,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,ઓલવતો,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,સાંજે,,એ,Time,Time,,,,1,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,0,,,,,,,
,સળગાવતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
30,દિવસ,,,,,,,,,,,,,,,
,દરમ્યાન,,દરમ્યાન,Time,Time,,,,0,,,,,,,
,હું,,,,,,,,,,,,,,,
,આરામ,,,,,,,,,,,,,,,
,કરતો,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,રાતે,,એ,Time,Time,,,,0,,,,,,,
,હું,,,,,,,,,,,,,,,
,સૂઈ,,,,,,,,,,,,,,,
,જતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
31,“,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,પછી,,પછી,Time,Time,,,,0,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,બદલાઈ,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
32,“,,,,,,,,,,,,,,,
,ના,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,બદલાયો,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનારે,,એ,Originator,Agent,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
33,“,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,દુઃખ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
34,દર,,,,,,,,,,,,,,,
,વર્ષે,,એ,Time,Time,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,વધુ,,,,,,,,,,,,,,,
,ને,,,,,,,,,,,,,,,
,વધુ,,,,,,,,,,,,,,,
,ઝડપથી,,થી,Manner,Manner,,,,5,Same SR. 351,,,,,,
,ગોળ,,,,,,,,,,,,,,,
,ગોળ,,,,,,,,,,,,,,,
,ફરે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
35,અને,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,બદલાયો,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
36,“,,,,,,,,,,,,,,,
,એટલે,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,નાનકડા,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,0,,,,,,,
,પૂછ્યું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
37,“,,,,,,,,,,,,,,,
,એટલે,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,હવે,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,મિનિટમાં,,માં,Frequency,Duration,,,,4,Frequency in Hindi. 374,,,,,,
,એક,,,,,,,,,,,,,,,
,વર્તુળ,,,,,,,,,,,,,,,
,પૂરું,,,,,,,,,,,,,,,
,કરે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
38,એટલે,,,,,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,2,SR Experiencer. Error on my part,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,સેકન્ડનો,,નો,Extent,Extent,,,,4,QuantityVal. 384,,,,,,
,પણ,,,,,,,,,,,,,,,
,આરામ,,,,,,,,,,,,,,,
,મળતો,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
39,એક,,,,,,,,,,,,,,,
,મિનિટ,,,,,,,,,,,,,,,
,માટે,,માટે,Duration,Duration,,,,0,,,,,,,
,હું,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવુ,,,,,,,,,,,,,,,
,છું,,,,,,,,,,,,,,,
,પછી,,,,,,,,,,,,,,,
,એને,,ને,Theme,Theme,,,,0,,,,,,,
,ઓલવી,,,,,,,,,,,,,,,
,નાખું,,,,,,,,,,,,,,,
,છું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
40,ફરીથી,,થી,Frequency,Frequency,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,મિનિટ,,,,,,,,,,,,,,,
,પછી,,પછી,Time,Time,,,,0,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવુ,,,,,,,,,,,,,,,
,છું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
41,“,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,કેવી,,,,,,,,,,,,,,,
,ગમ્મત,,,,,,,,,,,,,,,
,કહેવાય,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
42,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,0,,,,,,,
,દિવસ,,,,,,,,,,,,,,,
,ફકત,,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,મિનિટ,,,,,,,,,,,,,,,
,લાંબો,,,,,,,,,,,,,,,
,હોય,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
43,“,,,,,,,,,,,,,,,
,ના,,,,,,,,,,,,,,,
,ના,,,,,,,,,,,,,,,
,ગમ્મત,,,,,,,,,,,,,,,
,નહીં,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગવનારે,,એ,Originator,Agent,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44,“,,,,,,,,,,,,,,,
,આપણે,,એ,Originator,Agent,,,,,,,,,,,
,આટલી,,,,,,,,,,,,,,,
,વાતો,,,,,,,,,,,,,,,
,કરી,,,,,,,,,,,,,,,
,એટલી,,,,,,,,,,,,,,,
,વારમાં,,માં,Time,Time,,,,0,,,,,,,
,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,મહિના,,,,,,,,,,,,,,,
,જેટલો,,જેટલો,Approximator,Approximator,,,,,,,,,,,
,ગાળો,,,,,,,,,,,,,,,
,વીતી,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
45,“,,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,મહિનો,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
46,“,,,,,,,,,,,,,,,
,હા,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,મહિનો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
47,ત્રીસ,,,,,,,,,,,,,,,
,મિનિટ,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
48,ત્રીસ,,,,,,,,,,,,,,,
,દિવસો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
49,good,,,,,,,,,,,,,,,
,night,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
50,અને,,,,,,,,,,,,,,,
,એણે,,એ,Agent,Agent,,,,1,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,0,,,,,,,
,સળગાવ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
51,જેમ,,,,,,,,,,,,,,,
,જેમ,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનારની,,ની,Originator,Gestalt,,,,0,,,,,,,
,વાતો,,,,,,,,,,,,,,,
,સાંભળતો,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,તેમ,,,,,,,,,,,,,,,
,તેમ,,,,,,,,,,,,,,,
,એને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,એમાં,,માં,Topic,Topic,,,,0,,,,,,,
,રસ,,,,,,,,,,,,,,,
,પડવા,,,,,,,,,,,,,,,
,માંડ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52,એ,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,હુકમનું,,નું,Theme,Theme,,,,5,See 461,,,,,,
,પૂર્ણ,,,,,,,,,,,,,,,
,પાલન,,,,,,,,,,,,,,,
,કરતો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,તે,,,,,,,,,,,,,,,
,જાણીને,,,,,,,,,,,,,,,
,એને,,ને,Experiencer,Recipient,,,,1,,,,,,,
,એ,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,સારો,,,,,,,,,,,,,,,
,લાગ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
53,એને,,ને,Experiencer,Recipient,,,,1,,,,,,,
,પોતાના,,ના,Gestalt,Gestalt,,,,0,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પરના,,પરના,Locus,Locus,,,,0,,,,,,,
,સૂર્યાસ્ત,,,,,,,,,,,,,,,
,યાદ,,,,,,,,,,,,,,,
,આવ્યા,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,જે,,,,,,,,,,,,,,,
,એને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,ઈચ્છા,,,,,,,,,,,,,,,
,થાય,,,,,,,,,,,,,,,
,ત્યારે,,,,,,,,,,,,,,,
,જોઈ,,,,,,,,,,,,,,,
,શકતો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
54,એને,,ને,Agent,Agent,,,,0,,,,,,,
,ફક્ત,,,,,,,,,,,,,,,
,ખુરશીની,,ની,Theme,Theme,,,,0,,,,,,,
,દિશા,,,,,,,,,,,,,,,
,બદલવાની,,,,,,,,,,,,,,,
,જરૂર,,,,,,,,,,,,,,,
,પડતી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55,એને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,આ,,,,,,,,,,,,,,,
