Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,
,તને,,ને,Recipient,Recipient,,,,
,બગાસું,,,,,,,,
,નહીં,,,,,,,,
,ખાવા,,,,,,,,
,હુકમ,,,,,,,,
,કરું,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
18,“,,,,,,,,
,પણ,,પણ,`,,,,,
,હું,,,,,,,,
,બગાસાં,,,,,,,,
,રોકી,,,,,,,,
,શકતો,,,,,,,,
,નથી,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,ખૂબ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,અકળાઈને,,,,,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,હું,,,,,,,,
,બહુ,,,,,,,,
,દૂરથી,,થી,Source,Source,,,,
,આવ્યો,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
19,અને,,,,,,,,
,ઘણા,,,,,,,,
,વખતથી,,થી,Duration,Duration,,,English Ex.71,
,ઊંઘ્યો,,,,,,,,
,પણ,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
20,“,,,,,,,,
,એમ,,,,,,,,
,?,,,,,,,,
,સારું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
21,તો,,તો,`,,,,,
,હું,,,,,,,,
,તને,,ને,Recipient,Recipient,,,,
,બગાસાં,,,,,,,,
,ખાવાનો,,,,,,,,
,હુકમ,,,,,,,,
,આપું,,,,,,,,
,છું,,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
22,“,,,,,,,,
,આમ,,,,,,,,
,તો,,તો,`,,,,,
,મેં,,એ,Experiencer,Agent,,,,
,ઘણા,,,,,,,,
,વર્ષોથી,,થી,Duration,Duration,,,English Ex.71,
,કોઈને,,ને,Stimulus,Theme,,,,
,બગાસાં,,,,,,,,
,ખાતાં,,,,,,,,
,જોયો,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,નથી,,,,,,,,
,કોઈ,,,,,,,,
,બગાસાં,,,,,,,,
,ખાતું,,,,,,,,
,હોય,,,,,,,,
,એ,,,,,,,,
,જોવાની,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,
,હંમેશા,,,,,,,,
,તાલાવેલી,,,,,,,,
,થાય,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
23,ચાલ,,,,,,,,
,જોઉં,,,,,,,,
,…,,,,,,,,
,બગાસાં,,,,,,,,
,ખા,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
24,આ,,,,,,,,
,મારું,,નું,Originator,Gestalt,,,,
,ફરમાન,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
25,“,,,,,,,,
,પણ,,પણ,`,,,,,
,હવે,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,
,ડર,,,,,,,,
,લાગે,,,,,,,,
,છે,,,,,,,,
,…,,,,,,,,
,હવે,,,,,,,,
,બગાસાં,,,,,,,,
,નથી,,,,,,,,
,આવતાં,,,,,,,,
,…,,,,,,,,
,”,,,,,,,,
,નવાઈ,,,,,,,,
,પામેલા,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
26,“,,,,,,"""",,"""Yes! Yes!"", the king said, ""then I am giving the order of yawning sometimes to you"", the king said something like that"
,હં,,,,,,Yes,,
,!,,,,,,!,,
,હં,,,,,,Yes,,
,!,,,,,,!,,
,”,,,,,,"""",,
,રાજાએ,,એ,Originator,Agent,,the king,,
,કહ્યું,,,,,,said,,
,",",,,,,,",",,
,“,,,,,,"""",,
,તો,,તો,`,,,,,
,પછી,,,,,,then,,
,હું,,,,,,I,,
,તને,,ને,Recipient,Recipient,,to you,,
,કયારેક,,,,,,sometimes,,
,બગાસાં,,,,,,yawn,,
,ખાવાનો,,નો,Identity,Identity,,of taking,"My interpretation is ""order of never yawning"". There are many orers and this is one of them. Arguments for Species/Theme? Compare with Hindi 138",
,હુકમ,,,,,,order,,
,આપું,,,,,,giving,,
,છું,,,,,,am,,
,--,,,,,,--,,
,”,,,,,,"""",,
,એવું,,,,,,like that,,
,કાંઈક,,,,,,something,,
,રાજાએ,,એ,Originator,Agent,,the king,,
,કહ્યું,,,,,,said,,
,.,,,,,,.,,
,,,,,,,,,
27,રાજકુમાર,,,,,,,,
,થોડોક,,,,,,,,
,ગૂંચવાયો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
28,કારણકે,,,,,,,,
,મુદ્દાની,,ની,Characteristic,Identity,,,,
,વાત,,,,,,,,
,એ,,,,,,,,
,હતી,,,,,,,,
,કે,,,,,,,,
,રાજા,,,,,,,,
,એમ,,,,,,,,
,ઈચ્છતો,,,,,,,,
,હતો,,,,,,,,
,કે,,,,,,,,
,એના,,ના,Originator,Gestalt,,,,
,હુકમનું,,નું,Theme,Theme,,,,
,પાલન,,,,,,,,
,થવું,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,જોઈએ,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
29,એ,,,,,,,,
,કોઈ,,,,,,,,
,પ્રકારની,,ની,Characteristic,Identity,,,,
,અશિસ્ત,,,,,,,,
,ચલાવી,,,,,,,,
,લેતો,,,,,,,,
,ન,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
30,એ,,,,,,,,
,એક,,,,,,,,
,પૂર્ણ,,,,,,,,
,તાનાશાહ,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
31,પરંતુ,,,,,,,,
,એ,,,,,,,,
,ખૂબ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,ભલો,,,,,,,,
,માણસ,,,,,,,,
,હોવાથી,,થી,Explanation,Explanation,,,,
,તદ્દન,,,,,,,,
,સાદા,,,,,,,,
,હુકમ,,,,,,,,
,આપતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
32,“,,,,,,"""",,"""If I give an order to my commander"", the king was explaining."
,જો,,,,,,If,,
,હું,,,,,,I,,
,મારા,,ના,SocialRel,Gestalt,,my,See Pg.71 Eng guidelines OrgMember vs SocialRe;,
,સેનાપતિને,,ને,Recipient,Recipient,,to commander,,
,હુકમ,,,,,,order,,
,આપું,,,,,,give,,
,",",,,,,,",",,
,”,,,,,,"""",,
,રાજા,,,,,,the king,,
,સમજાવી,,,,,,explain,,
,રહ્યો,,,,,,<cont>,,
,હતો,,,,,,was,,
,.,,,,,,.,,
,,,,,,,,,
33,“,,,,,,"""",,"""If I give an order to my commander that he should change into a bird and if the commander is not able to adhere of that order then, in that case, nonr of it is his fault"""
,જો,,,,,,If,,
,હું,,,,,,I,,
,મારા,,ના,SocialRel,Gestalt,,my,See row 422,
,સેનાપતિને,,ને,Recipient,Recipient,,to commander,,
,કોઈ,,,,,,any,,
,હુકમ,,,,,,order,,
,આપું,,,,,,give,,
,કે,,,,,,that,,
,એણે,,એ,Agent,Agent,,he,This is both Agent and Theme,
,પક્ષીમાં,,માં,Goal,Locus,,into bird,,
,બદલાઈ,,,,,,change,,
,જવું,,,,,,should,,
,અને,,,,,,and,,
,જો,,,,,,if,,
,સેનાપતિ,,,,,,the commander,,
,એ,,,,,,that,,
,હુકમનું,,નું,Theme,Theme,,of the order,,
,પાલન,,,,,,adherance,,
,કરી,,,,,,does,,
,ના,,,,,,not,,
,શકે,,,,,,able,,
,તો,,તો,`,,,,,
,એમાં,,માં,Circumstance,Circumstance,,in that,,
,એનો,,નો,Gestalt,Gestalt,,his,,
,કાંઈ,,,,,,any,,
,જ,,જ,Focus,Focus,,,,
,વાંક,,,,,,fault,,
,નથી,,,,,,not,,
,.,,,,,,.,,
,,,,,,,,,
34,એમાં,,માં,Circumstance,Circumstance,,,,
,મારો,,નો,Gestalt,Gestalt,,,,
,જ,,જ,Focus,Focus,,,,
,વાંક,,,,,,,,
,ગણાય,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
35,“,,,,,,,,
,હું,,,,,,,,
,બેસી,,,,,,,,
,જાઉં,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,પૂછ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
36,“,,,,,,,,
,હું,,,,,,,,
,તને,,ને,Recipient,Recipient,,,,
,બેસવાનો,,,,,,,,
,હુકમ,,,,,,,,
,આપું,,,,,,,,
,છું,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,જવાબ,,,,,,,,
,આપ્યો,,,,,,,,
,અને,,,,,,,,
,રૂઆબપૂર્વક,,,,,,,,
,પોતાના,,ના,Possessor,Possessor,,,,
,પોષાકનો,,નો,Whole,Whole,,,,
,એક,,,,,,,,
,છેડો,,,,,,,,
,સંકેલી,,,,,,,,
,લીધો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
37,પણ,,,,,,,,
,રાજકુમારને,,ને,Experiencer,Recipient,,,,
,આશ્ચર્ય,,,,,,,,
,થતું,,,,,,,,
,હતું,,,,,,,,
,…,,,,,,,,
,એ,,,,,,,,
,ગ્રહ,,,,,,,,
,તો,,તો,Focus,Focus,,,,
,ખૂબ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,નાનો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
38,તો,,તો,`,,,,,
,પછી,,,,,,,,
,આ,,,,,,,,
,રાજા,,,,,,,,
,શાના,,ના,Theme,Locus,1:1,,,
,પર,,પર,,,1:2,,,
,",",,,,,,,,
,કોના,,ના,Theme,Locus,2:1,,,
,પર,,પર,,,2:2,,,
,",",,,,,,,,
,રાજ,,,,,,,,
,કરતો,,,,,,,,
,હતો,,,,,,,,
,?,,,,,,,,
,,,,,,,,,
39,“,,,,,,,,
,નામવર,,,,,,,,
,",",,,,,,,,
,આપને,,ને,Recipient,Recipient,,,,
,એક,,,,,,,,
,પ્રશ્ન,,,,,,,,
,પૂછું,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,એણે,,એ,Originator,Agent,,,,
,પૂછ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
40,“,,,,,,,,
,હું,,,,,,,,
,તને,,ને,Recipient,Recipient,,,,
,પ્રશ્ન,,,,,,,,
,પૂછવા,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,
,હુકમ,,,,,,,,
,કરું,,,,,,,,
,છું,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,ઉતાવળથી,,થી,Manner,Manner,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
41,“,,,,,,,,
,નામવર,,,,,,,,
,",",,,,,,,,
,આપ,,,,,,,,
,કોના,,ના,Theme,Locus,1:1,,,
,પર,,પર,,,1:2,,,
,રાજ,,,,,,,,
,કરો,,,,,,,,
,છો,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
42,“,,,,,,,,
,બધા,,,,,,,,
,ઉપર,,ઉપર,Theme,Locus,,,,
,",",,,,,,,,
,ખૂબ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,સરળતાથી,,થી,Manner,Manner,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
43,“,,,,,,,,
,બધા,,,,,,,,
,ઉપર,,ઉપર,Theme,Locus,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
44,રાજાએ,,એ,Agent,Agent,,,,
,ઈશારો,,,,,,,,
,કરીને,,,,,,,,
,આખો,,,,,,,,
,ય,,ય,Focus,Focus,,,,
,ગ્રહ,,,,,,,,
,",",,,,,,,,
,પડોશના,,ના,Locus,Locus,,,Minor hesitation w.r.t SocialRel,
,ગ્રહો,,,,,,,,
,અને,,,,,,,,
,તારા,,,,,,,,
,",",,,,,,,,
,નક્ષત્રો,,,,,,,,
,બતાવ્યાં,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
45,“,,,,,,,,
,એ,,,,,,,,
,બધા,,,,,,,,
,ઉપર,,ઉપર,Theme,Locus,,,,
,?,,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,પૂછ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
46,“,,,,,,,,
,એ,,,,,,,,
,બધા,,,,,,,,
,ઉપર,,ઉપર,Theme,Locus,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,ઉત્તર,,,,,,,,
,આપ્યો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
47,આ,,,,,,,,
,રાજાનો,,નો,Originator,Gestalt,,,,
,હુકમ,,,,,,,,
,માત્ર,,,,,,,,
,અફર,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,ન,,,,,,,,
,હતો,,,,,,,,
,પણ,,પણ,`,,,,,
,સર્વત્ર,,,,,,,,
,છવાઈ,,,,,,,,
,રહે,,,,,,,,
,એવો,,,,,,,,
,ય,,ય,Focus,Focus,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
48,“,,,,,,,,
,અને,,,,,,,,
,તારલાઓ,,,,,,,,
,આપનો,,નો,Originator,Gestalt,,,,
,હુકમ,,,,,,,,
,માને,,,,,,,,
,છે,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
49,“,,,,,,,,
,જરૂર,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
50,તેઓ,,,,,,,,
,મારા,,ના,Originator,Gestalt,,,,
,હુકમનું,,નું,Theme,Theme,,,,
,તરત,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,પાલન,,,,,,,,
,કરે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
51,મને,,ને,Experiencer,Recipient,,,,
,લાપરવાહી,,,,,,,,
,કે,,,,,,,,
,અશિસ્ત,,,,,,,,
,જરાય,,ય,Focus,Focus,,,,
,પસંદ,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
52,રાજકુમારને,,ને,Experiencer,Recipient,,To the prince,,"To the prince, he was surprised for these powers of the king"
,રાજાની,,ની,Gestalt,Gestalt,,the king's,,
,આવી,,,,,,these,,
,શક્તિ,,,,,,powers,,
,માટે,,માટે,Stimulus,Purpose,,for ,,The function doesn't make any sense
,સાચે,,,,,,really,,
,જ,,જ,Focus,Focus,,,,
,આશ્ચર્ય,,,,,,surprise,,
,થયું,,,,,,happened,,
,.,,,,,,.,,
,,,,,,,,,
53,એને,,ને,Experiencer,Recipient,,,,
,થયું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,જો,,,,,,,,
,મારામાં,,માં,Possessor,Locus,,,,
,આવી,,,,,,,,
,શક્તિ,,,,,,,,
,હોય,,,,,,,,
,તો,,તો,`,,,,,
,હું,,,,,,,,
,44,,,,,,,,
,વખત,,,,,,,,
,તો,,તો,Focus,Focus,,,,
,શું,,,,,,,,
,",",,,,,,,,
,72,,,,,,,,
,વખત,,,,,,,,
,ના,,,,,,,,
,",",,,,,,,,
,ના,,,,,,,,
,",",,,,,,,,
,સેંકડો,,,,,,,,
,વખત,,,,,,,,
,સૂર્યાસ્ત,,,,,,,,
,જોઉં,,,,,,,,
,અને,,,,,,,,
,મારી,,ની,Possessor,Possessor,,,,
,ખુરશીમાંથી,,માંથી,Source,Source,,,,
,મને,,ને,Agent,Agent,,,,
,ખસવું,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,ન,,,,,,,,
,પડે,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
54,અને,,,,,,,,
,પોતાનું,,નું,Possessor,Possessor,,,,
,ઘર,,,,,,,,
,યાદ,,,,,,,,
,આવવાથી,,થી,Explanation,Explanation,,,,
,એ,,,,,,,,
,થોડોક,,,,,,,,
,ઉદાસ,,,,,,,,
,થઈ,,,,,,,,
,ગયો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
55,પણ,,પણ,`,,,,,
,પછી,,,,,,,,
,એણે,,એ,Originator,Agent,,,,
,રાજાને,,ને,Recipient,Recipient,,,,
,વિનંતી,,,,,,,,
,કરી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
56,“,,,,,,,,
,મારે,,ને,Experiencer,Recipient,,,,
,સૂર્યાસ્ત,,,,,,,,
,જોવો,,,,,,,,
,છે,,,,,,,,
,......,,,,,,,,
,મારા,,ના,Theme,Locus,1:1,,,
,પર,,પર,,,1:2,,,
,આટલી,,,,,,,,
,મહેરબાની,,,,,,,,
,કરો,,,,,,,,
,ને,,,,,,,,
,......,,,,,,,,
,સૂર્યને,,ને,Recipient,Recipient,,,,
,ડૂબી,,,,,,,,
,જવા,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,
,હુકમ,,,,,,,,
,કરો,,,,,,,,
,ને,,,,,,,,
,…,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
57,“,,,,,,,,
,જો,,,,,,,,
,હું,,,,,,,,
,સેનાપતિને,,ને,Recipient,Recipient,,,,
,એક,,,,,,,,
,ફૂલ,,,,,,,,
,પરથી,,પરથી,Source,Source,,,,
,બીજા,,,,,,,,
,ફૂલ,,,,,,,,
,પર,,પર,Goal,Locus,,,,
,પતંગિયાની,,ની,Manner,ComparisonRef,1:1,,,
,જેમ,,જેમ,,,1:2,,,
,ઉડવા,,,,,,,,
,કહું,,,,,,,,
,અથવા,,,,,,,,
,એને,,ને,Recipient,Recipient,,,,
,સાગરપંખીનું,,નું,Identity,Identity,,,,
,રૂપ,,,,,,,,
,ધારણ,,,,,,,,
,કરવા,,,,,,,,
,કહું,,,,,,,,
,અથવા,,,,,,,,
,કોઈ,,,,,,,,
,કરુણ,,,,,,,,
,નાટક,,,,,,,,
,લખવા,,,,,,,,
,કહું,,,,,,,,
,અને,,,,,,,,
,જો,,,,,,,,
,મારો,,નો,SocialRel,Gestalt,,,See 422,
,સેનાપતિ,,,,,,,,
,આમાંનું,,માંનું,Whole,Whole,,,,
,કાંઈ,,,,,,,,
,કરી,,,,,,,,
,શકે,,,,,,,,
,નહીં,,,,,,,,
,તો,,તો,`,,,,,
,એમાં,,માં,Circumstance,Circumstance,,,,
Circumposition,અમારા,,ના,Whole,Source,1:1,,,
,બેમાંથી,,માંથી,,,1:2,,,
,કોની,,ની,Gestalt,Gestalt,,,,
,ભૂલ,,,,,,,,
,કહેવાય,,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,પૂછ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,મારી,,ની,Gestalt,Gestalt,,,,
,કે,,,,,,,,
,સેનાપતિની,,ની,Gestalt,Gestalt,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
58,“,,,,,,,,
,આપની,,ની,Gestalt,Gestalt,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,મક્કમતાથી,,થી,Manner,Manner,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,બરાબર,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
59,દરેક,,,,,,,,
,વ્યક્તિ,,,,,,,,
,જે,,,,,,,,
,કાંઈ,,,,,,,,
,કામ,,,,,,,,
,કરી,,,,,,,,
,શકે,,,,,,,,
,એ,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,
,જ,,જ,Focus,Focus,,,,
,તેને,,ને,Recipient,Recipient,,,,
,હુકમ,,,,,,,,
,આપવો,,,,,,,,
,જોઈએ,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,આગળ,,,,,,,,
,ચલાવ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,સત્તાનો,,નો,Whole,Whole,,,,
,પાયો,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,આવી,,,,,,,,
,સમજણ,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
60,જો,,,,,,,,
,કોઈ,,,,,,,,
,રાજા,,,,,,,,
