Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Translation,,
,ભૂગોળનું,,નું,Topic,Topic,,of geography,,,,
,જ્ઞાન,,,,,,knowledge,,,,
,મને,,ને,Beneficiary,Recipient,,to me,Dative,,,
,ઉપયોગી,,,,,,beneficial,,,,
,થયું,,,,,,was,,,,
,છે,,,,,,-,,,,
,એ,,,,,,that,,,,
,પણ,,પણ,`,,,too,,,,
,સાચું,,,,,,is true,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
26,ચીન,,,,,,China,,I can differentiate china and arizona in a single glance.,,
,અને,,,,,,and,,,,
,એરિઝૉનાને,,ને,Stimulus,Theme,,betweeen Arizona,Unsure. This might be a triple ComparRef->Locus->Goal,,,
,હું,,,,,,I,,,,
,એકવાર,,,,,,once,,,,
,જોતામાં,,માં,Manner,Manner,,in seeing,It answers a how question,,,
,જ,,જ,Focus,Focus,,only,,,,
,અલગ,,,,,,different,,,,
,તારવી,,,,,,point,,,,
,શકું,,,,,,able,,,,
,છું,,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
27,રાત્રે,,એ,Time,Time,,at night,,"At night, if someone is lost then such knowledge happens to be useful.",,
,જે,,,,,,one,,,,
,કોઈ,,,,,,any,,,,
,ભૂલું,,,,,,stranded,,,,
,પડી,,,,,,left,,,,
,જાય,,,,,,went,,,,
,તો,,તો,`,,,then,,,,
,આવું,,,,,,this,,,,
,જ્ઞાન,,,,,,knowledge,,,,
,કામ,,,,,,use,,,,
,આવે,,,,,,comes to ,Unsure of Scene Role,,,
,ખરું,,,,,,is true,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
28,મારા,,ના,Theme,Gestalt,,mine,What is a lifetime?,"During my lifetime, I have met a lot of stalwarts who only entertain the topics of goal-driven issues.",,
,જીવનકાળ,,,,,,lifetime,,,,
,દરમ્યાન,,દરમ્યાન,Time,Time,,during,See sentence 6,,,
,હું,,,,,,I,,,,
,એવા,,,,,,like that,,,,
,ઘણાં,,,,,,many,,,,
,મહાનુભાવોને,,ને,Agent,Ancillary,,with stalwarts,Dative,,,
,મળ્યો,,,,,,meet,,,,
,"છું,",,,,,,",",,,,
,જે,,,,,,that,,,,
,માત્ર,,,,,,only,,,,
,પરિણામલક્ષી,,,,,,goal-driven,,,,
,બાબતો,,,,,,issues,,,,
,વિષે,,એ,Topic,Topic,,of topic,,,,
,જ,,જ,Focus,Focus,,only,,,,
,દરકાર,,,,,,entertain,,,,
,કરે,,,,,,do,,,,
,છે,,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
29,વડિલોની,,ની,Ancillary,Ancillary,1:1,elders,,I have lived with the elders a lot.,,
,સાથે,,સાથે,,,1:2,with,,,,
,હું,,,,,,I,,,,
,ઘણું,,,,,,a lot,,,,
,રહ્યો,,,,,,lived,,,,
,છું,,,,,,-,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
30,મેં,,એ,Experiencer,Agent,,I,,I have observed them from up close and with intent.,,
,એમને,,ને,Stimulus,Theme,,to them,,,,
,ઘણી,,,,,,very,,,,
,"ઘનિષ્ઠતાથી,",,થી,Manner,Manner,,with intent,What should be the correct one here,,,
,નજીકથી,,થી,Manner,Locus,,from close distance,,,,
,જાણ્યા,,,,,,known,,,,
,છે,,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
31,જો,,,,,,Though,,"Though, my opinion on the subject of them hasn't changed from it.",,
,કે,,,,,,,,,,
,એનાથી,,થી,Explanation,Source,,from that,Is this contextualization,,,
,મારો,,નો,Experiencer,Gestalt,,my,,,,
,એમના,,ના,Topic,Topic,,their,Accusative,,,
,વિષેનો,,નો,Topic,Topic,,of subject,,,,
,મત,,,,,,opinion,,,,
,કંઈ,,,,,,any,,,,
,બદલાયો,,,,,,has changed,,,,
,નથી,,,,,,not,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
32,જ્યારે,,,,,,when,"Reiteration of this word means ""whenever"" while single means ""when""",Whenever I meet a person like that who to me seem somewhat simple and clear then I try to show my picture (I have saved it till this day) to them.,,
,જ્યારે,,,,,,when,,,,
,હું,,,,,,I,,,,
,એવી,,,,,,like that,,,,
,કોઈ,,,,,,any,,,,
,વ્યક્તિને,,ને,Theme,Theme,,to person,,,,
,મળું,,,,,,meet,,,,
,જે,,,,,,that,,,,
,મને,,ને,Experiencer,Recipient,,to me,Dative,,,
,થોડીક,,,,,,quite,,,,
,સરળ,,,,,,easy,,,,
,અને,,,,,,and,,,,
,સ્પષ્ટદષ્ટા,,,,,,explicit,,,,
,લાગે,,,,,,feel,,,,
,ત્યારે,,,,,,then,,,,
,હું,,,,,,I,,,,
,મારું,,નું,Originator,Gestalt,,my,,,,
,ચિત્ર,,,,,,picture,,,,
,(,,,,,,(,,,,
,મેં,,,,,,I,,,,
,હજીયે,,,,,,even now,,,,
,તેને,,ને,Theme,Theme,,to it,Dative,,,
,સાચવી,,,,,,saved,,,,
,રાખ્યુ,,,,,,,,,,
,છે,,,,,,-,,,,
,),,,,,,),,,,
,એમને,,ને,Experiencer,Recipient,,to them,Dative,,,
,બતાવવાનો,,નો,Purpose,Purpose,,to show,,,,
,પ્રયોગ,,,,,,experiment,,,,
,કરું,,,,,,do,,,,
,છું,,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
33,એ,,,,,,that,,I try to find out without fail if that person possesses true understanding.,,
,વ્યક્તિ,,,,,,person,,,,
,સાચી,,,,,,true,,,,
,સમજ,,,,,,understanding,,,,
,ધરાવે,,,,,,possesses,verbal modifier,,,
,છે,,,,,,-,,,,
,કે,,,,,,or,,,,
,કેમ,,,,,,what,,,,
,એ,,,,,,that,,,,
,શોધી,,,,,,find,,,,
,કાઢવાનો,,નો,Purpose,Purpose,,to remove/out,,,,
,પ્રયાસ,,,,,,attempt,,,,
,હું,,,,,,I,,,,
,અચૂક,,,,,,without fail,Rare case. should we be annotating this. ,,,
,કરું,,,,,,do,,,,
,છું,,,,,,.,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
34,પરંતુ,,,,,,but,,"But all the elders I have met, all have always said that only that, ""this is a hat""",,
,જેટલા,,,,,,as many,,,,
,વડિલ,,,,,,elder,,,,
,મળ્યા,,,,,,have met,,,,
,એ,,,,,,they,,,,
,બધાએ,,એ,Originator,Agent,,all have,Ergative,,,
,હમેશાં,,,,,,always,,,,
,એમજ,,જ,Focus,Focus,,that only,,,,
,કહ્યું,,,,,,said,,,,
,છે,,,,,,-,,,,
,કે,,,,,,that,,,,
,“,,,,,,"""",,,,
,આ,,,,,,this,,,,
,તો,,તો,Focus,Focus,,,,,,
,ટોપી,,,,,,a cap,,,,
,છે,,,,,,is,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
35,પછી,,,,,,after that,,"After that, I never talk with them about the subjects of boa, human habitation, or stars.",,
,હું,,,,,,I,,,,
,એ,,,,,,that,,,,
Elision,વ્યક્તિ,,,,,,person,,,,
Elision,સાથે,,સાથે,Agent,Ancillary,,with,,,,
,"અજગર,",,,,,,"python,",,,,
,માનવવસવાટ,,,,,,human habitation,,,,
,પૂર્વેનાં,,નાં,Time,Characteristic,,before,,,,
,જંગલો,,,,,,jungles,,,,
,કે,,,,,,or,,,,
,તારલાઓ,,,,,,star,,,,
Elision/New?,વિશે,vishe,વિશે,Topic,Topic,,about/of subject,,,,
,ક્યારેય,,,,,,anytime,,,,
,વાત,,,,,,speak,,,,
,કરતો,,,,,,do,,,,
,નથી,,,,,,not,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
36,ના,,,,,,without,,"Without an option, I would take myself down till that person's level, and would start talking about the subject of bridge, subject of gold, subject of politics and subject of necktie result? Of course, elders were very excited after meeting an understanding and knowledgeable person like me.",,
,છૂટકે,,,,,,option,,,,
,હું,,,,,,I,,,,
,મારી,,,,,,my,"Unique to Gujarati(incorrect). Alternatively, is it the same as अपने आपको. This contruction doesn't seem to allow the third person",,,
,જાતને,,ને,Theme,Theme,,to self,,,,
,એ,,,,,,that,,,,
,વ્યક્તિના,,ના,Gestalt,Gestalt,,of person,,,,
,સ્તર,,,,,,level,,,,
,સુધી,,સુધી,Extent,Extent,,till,,,,
,નીચે,,,,,,low,,,,
,લઈ,,,,,,take,,,,
,"જતો,",,,,,,"went,",,,,
,ને,,,,,,and,,,,
,એની,,ની,Ancillary,Ancillary,1:1,them,,,,
,સાથે,,સાથે,,,1:2,with,,,,
,બ્રીજ,,,,,,bridge,,,,
,"વિશે,",,વિશે,Topic,Topic,,about,same as 35,,,
,ગોલ્ફ,,,,,,golf,,,,
,"વિશે,",,વિશે,Topic,Topic,,about,,,,
,રાજકારણ,,,,,,politics,,,,
,વિશે,,વિશે,Topic,Topic,,about,,,,
,અને,,,,,,and,,,,
,નેકટાઈ,,,,,,necktie,,,,
,વિશે,,વિશે,Topic,Topic,,about,,,,
,વાતો,,,,,,conversations,,,,
,કરવા,,,,,,do,,,,
,લાગતો,,,,,,keep,,,,
,પરિણામ,,,,,,result,,,,
,?,,,,,,?,,,,
,"અલબત્ત,",,,,,,"of course,",,,,
,વડિલો,,,,,,elders,,,,
,મારા,,ના,ComparisonRef,ComparisonRef,1:1,me,this might be as easily be Characteristic,,,
,જેવા,,જેવા,,,1:2,like,,,,
,સમજુ,,,,,,understanding,,,,
,અને,,,,,,and,,,, 
,બુદ્ધિશાળી,,,,,,knowledgable,,,,
,માણસને,,ને,Theme,Theme,,to a person,Accusative,,,
,મળીને,,,,,,after meeting,This is tricky,,,
,ઘણા,,,,,,a lot,,,,
,જ,,,,,,only,,,,
,ખુશ,,,,,,happy,,,,
,થતા,,,,,,were,,,,
,.,,,,,,.,,,,
