`,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Translation
,બનાવવા,banaavva,,,,,make,,
,પ્રયત્ન,prayatna,,,,,tried,,
,કરીશ,karish,,,,,will do,,
,.,.,,,,,.,,
,,,,,,,,,
14,પણ,pan,પણ,`,,,But,,
,એ,e,,,,,those,,
,ચિત્રો,chitro,,,,,pictures,,
,વખાણવા,vakhaanva,,,,,appreciable,,
,લાયક,laayak,,,,,worthy,,
,હશે,hashe,,,,,would be,,
,કે,ke,,,,,or,,
,નહીં,nahi,,,,,not,,
,એની,eni,ની,Topic,Topic,,its,,
,કોઈ,koi,,,,,any,,
,ખાતરી,khaatri,,,,,sureity,,
,હું,ju,,,,,I,,
,આપી,aapi,,,,,give,,
,શકતો,shakto,,,,,able to,,
,નથી,nathi,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
15,એકાદ,ekaad,,,,,Few,,
,ચિત્ર,chitra,,,,,pictures,,
,જો,jo,,,,,if,,
,ઠીક,theek,,,,,alright,,
,બને,bane,,,,,made,,
,તો,to,તો,`,,,then,,
,વળી,vali,,,,,on the other hand,,
,બીજા,bijaa,,,,,another,,
,ચિત્રને,chitrane,ને,Theme,Theme,,picture-DAT,,
,એના,ena,ના,Topic,Topic,,its,,
,વિષય,vishay,,,,,subject,,
,સાથે,saathe,સાથે,ComparisonRef,Ancillary,,with,,
,કાંઈ,kaai,,,,,any,,
,લેવા,leva,,,,,take,,
,દેવા,deva,,,,,give,,
,જ,j,જ,Focus,Focus,,<emph>,,
,નથી,nathi,,,,,no,,
,એમ,em,,,,,like that,,
,પણ,pan,પણ,Focus,Focus,,also,,
,લાગે,laage,,,,,felt,,
,.,.,,,,,.,,
,,,,,,,,,
16,એ,e,,,,,that,,
,નાનકડા,naanakda,,,,,little,,
,રાજકુમારની,rajkumaarni,ની,Gestalt,Gestalt,,prince's,See 27 in Chapter 3,
,ઉંચાઈ,unchaai,,,,,height,,
,પણ,pan,પણ,Focus,Focus,,also,,
,એકસરખી,eksarkhi,સરખી,ComparisonRef,ComparisonRef,,similar,,
,હું,hu,,,,,I,,
,બતાવી,bataavi,,,,,show,,
,શકતો,shakto,,,,,able to,,
,નથી,naathi,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
17,અમુક,amuk,,,,,Some,,
,ચિત્રમાં,chitrama,માં,Locus,Locus,,in pictures,,
,એ,e,,,,,he,,
,ખૂબ,khub,,,,,very,,
,ઊંચો,uncho,,,,,tall,,
,દેખાય,dekhaay,,,,,looks,,
,છે,chhe,,,,,-,,
,તો,to,તો,`,,,<filler>,,
,બીજામાં,bijaama,માં,Locus,Locus,,in another,,
,સાવ,saav,,,,,very,,
,ઠીંગણો,thigano,,,,,short,,
,!,!,,,,,!,,
,એના,ena,ના,Possessor,Possessor,,his,,
,વસ્ત્રોના,vastrona,ના,Gestalt,Gestalt,,of clothers,,
,રંગ,rang,,,,,color,,
,વિષે,vishe,વિષે,Topic,Topic,,about,,
,પણ,pan,પણ,Focus,Focus,,also,,
,મને,mane,ને,Experiencer,Recipient,,to me,,
,શંકા,shanka,,,,,doubts,,
,છે,chhe,,,,,have,,
,.,.,,,,,.,,
,,,,,,,,,
18,એટલે,etle,,,,,Hence,,
,કાંઈક,kaaink,,,,,somewhat,,
,સાચું,saachu,,,,,correct,,
,",",",",,,,,",",,
,કાંઈક,kaaink,,,,,somewhat,,
,ભૂલોવાળું,bhulovaadu,વાળું,Characteristic,Characteristic,,with mistakes,,
,એમ,em,,,,,like that,,
,કરીને,karine,,,,,after doing,,
,એ,e,,,,,that,,
,રાજકુમારનાં,raajkumaarna,નાં,Topic,Topic,,of prince,,
,ચિત્રો,chitro,,,,,pictures,,
,બનાવવાનો,banaavvano,નો,Circumstance,Circumstance,,to draw,,
,હું,hu,,,,,I,,
,પ્રયાસ,prayaas,,,,,try,,
,કરીશ,karish,,,,,will,,
,.,.,,,,,.,,
,,,,,,,,,
19,કેટલીક,ketlik,,,,,some,,
,મહત્ત્વની,mahattvani,ની,Characteristic,Identity,,of importance,,
,બાબતોમાં,baabatomaa,માં,Topic,Topic,,in matters,,
,મારી,maari,ની,Originator,Gestalt,,my,,
,ભૂલો,bhulo,,,,,mistakes,,
,થશે,thashe,,,,,will happen,,
,જ,j,જ,Focus,Focus,,<emph>,,
,.,.,,,,,.,,
,,,,,,,,,
20,પણ,pan,પણ,`,,,but,,
,એમાં,emaa,માં,Circumstance,Circumstance,,in that,,
,મારો,maaro,નો,Gestalt,Gestalt,,my,,
,કોઈ,koi,,,,,any,,
,વાંક,vaank,,,,,fault,,
,નથી,nathi,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
21,મારો,maaro,નો,SocialRel,Gestalt,,my,,
,દોસ્ત,dost,,,,,friend,,
,મારા,maara,ના,Originator,Gestalt,,my,,
,પ્રશ્નોના,prashnona,ના,Topic,Topic,,to questions,http://flat.nert.georgetown.edu/Topic/#wiki-toc-answer-respond-etc,
,જવાબ,javaab,,,,,answer,,
,કયારેક,kyaarek,,,,,sometime,,
,આપતો,aapto,,,,,give,,
,જ,j,જ,Focus,Focus,,<emph>,,
,ન,na,,,,,not,,
,હતો,hato,,,,,-,,
,.,.,,,,,.,,
,,,,,,,,,
22,એને,ene,ને,Experiencer,Recipient,,he-DAT,,
,કદાચ,kadaach,,,,,probably,,
,એમ,em,,,,,like that,,
,લાગ્યું,laagyu,,,,,felt,,
,હશે,hashe,,,,,must have,,
,કે,ke,,,,,that,,
,હું,hu,,,,,I,,
,પણ,pan,પણ,Focus,Focus,,also,,
,એના,ena,ના,ComparisonRef,ComparisonRef,1:1,him,,
,જેવો,jevo,જેવો,,,1:2,like,,
,જ,j,જ,Focus,Focus,,<emph>,,
,છું,chhu,,,,,am,,
,.,.,,,,,.,,
,,,,,,,,,
23,પણ,pan,પણ,`,,,But,,
,મને,mane,ને,Experiencer,Recipient,,me-DAT,,
,દીવાસળીની,divaasadini,ની,Stuff,Stuff,,of match stick,,
,પેટીમાં,petima,માં,Locus,Locus,,in the box,,
,ઘેટું,ghetu,,,,,sheep,,
,જોતાં,jota,,,,,to see,,
,ક્યાં,kyaan,,,,,where,,
,આવડે,aavde,,,,,know,,
,છે,chhe,,,,,-,,
,?,?,,,,,?,,
,,,,,,,,,
24,કેટલું,ketlu,,,,,how,,
,દુ:ખદ,dukhad,,,,,sad,,
,!,!,,,,,!,,
,કદાચ,kadaach,,,,,probably,,
,હું,hu,,,,,I-NOM,,
,ય,y,,,,,also,,
,થોડો,thodo,,,,,some,,
,ઘણો,ghano,,,,,more,,
,તો,to,તો,Focus,Focus,,<filler>,,
,વડિલો,vadilo,,,,,elders,,
,જેવો,jevo,જેવો,ComparisonRef,ComparisonRef,,like,,
,જ,j,જ,Focus,Focus,,<emph>,,
,છું,chhu,,,,,am,,
,.,.,,,,,.,,
,,,,,,,,,
25,પણ,pan,પણ,`,,,But,,
,શું,shu,,,,,what,,
,કરું,karu,,,,,to do,,
,?,?,,,,,?,,
,,,,,,,,,
26,મારે,maare,ને,Theme,Theme,,me-DAT,,
,મોટા,mota,,,,,old,,
,થવું,thavu,,,,,become,,
,જ,j,જ,Focus,Focus,,<emph>,,
,પડ્યું,padyu,,,,,had to,,
,.,.,,,,,.,,
