Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
,માણસ,,,,,,,
,ખરેખર,,,,,,,
,કામ,,,,,,,
,કરતો,,,,,,,
,હોય,,,,,,,
,એમ,,,,,,,
,લાગે,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
15,આવું,,,,,,,
,વિચારીને,,,,,,,
,રાજકુમારે,,એ,Agent,Agent,,,
,ખગોળશાસ્ત્રીના,,ના,Gestalt,Gestalt,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,ચારે,,,,,,,
,બાજુ,,,,,,,
,નજર,,,,,,,
,દોડાવી,,,,,,,
,.,,,,,,,
,,,,,,,,
16,આ,,,,,,,
,સૌથી,,થી,ComparisonRef,ComparisonRef,,,
,ભવ્ય,,,,,,,
,અને,,,,,,,
,સુંદર,,,,,,,
,ગ્રહ,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
17,“,,,,,,,
,તમારો,,નો,Gestalt,Gestalt,,,See Sentence 15
,ગ્રહ,,,,,,,
,ખૂબ,,,,,,,
,જ,,જ,Focus,Focus,,,
,સુંદર,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,“,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
18,“,,,,,,,
,અહીં,,,,,,,
,સમુદ્રો,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
19,“,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,ખબર,,,,,,,
,નથી,,,,,,,
,",",,,,,,,
,“,,,,,,,
,ખગોળશાસ્ત્રીએ,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
20,“,,,,,,,
,આહ,,,,,,,
,!,,,,,,,
,“,,,,,,,
,રાજકુમાર,,,,,,,
,થોડોક,,,,,,,
,ઉદાસ,,,,,,,
,થઈ,,,,,,,
,ગયો,,,,,,,
,.,,,,,,,
,,,,,,,,
21,“,,,,,,,
,અહીં,,,,,,,
,પર્વતો,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
22,“,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,ખબર,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
23,“,,,,,,,
,શહેરો,,,,,,,
,",",,,,,,,
,નદીઓ,,,,,,,
,અને,,,,,,,
,રણ,,,,,,,
,પ્રદેશો,,,,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
24,“,,,,,,,
,એની,,ની,Topic,Topic,,,
,પણ,,પણ,Focus,Focus,,,
,મને,,ને,Experiencer,Recipient,,,
,ખબર,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
25,“,,,,,,,
,પણ,,પણ,`,,,,
,તમે,,,,,,,
,તો,,તો,Focus,Focus,,,
,ખગોળશાસ્ત્રી,,,,,,,
,છો,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
26,“,,,,,,,
,બરાબર,,,,,,,
,.,,,,,,,
,,,,,,,,
27,પણ,,પણ,`,,,,
,હું,,,,,,,
,શોધક,,,,,,,
,કે,,,,,,,
,ભોમિયો,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
28,મારા,,ના,Gestalt,Gestalt,,,See Sentence 15
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,મુસાફરી,,,,,,,
,કરીને,,,,,,,
,આવું,,,,,,,
,બધું,,,,,,,
,શોધી,,,,,,,
,કાઢનાર,,,,,,,
,એક,,,,,,,
,પણ,,પણ,Focus,Focus,,,
,સાહસિક,,,,,,,
,માણસ,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
29,ખગોળશાસ્ત્રી,,,,,,,
,પોતે,,એ,Agent,Agent,,,
,કાંઈ,,,,,,,
,બધે,,,,,,,
,ફરીને,,,,,,,
,શહેરો,,,,,,,
,",",,,,,,,
,નદીઓ,,,,,,,
,",",,,,,,,
,પર્વતો,,,,,,,
,",",,,,,,,
,સમુદ્રો,,,,,,,
,અને,,,,,,,
,રણપ્રદેશોની,,ની,Topic,Topic,,,
,ગણતરી,,,,,,,
,ન,,,,,,,
,કરે,,,,,,,
,.,,,,,,,
,,,,,,,,
30,ખગોળશાસ્ત્રી,,,,,,,
,માટે,,માટે,Experiencer,Beneficiary,,,
,આવાં,,,,,,,
,કામ,,,,,,,
,તો,,તો,Focus,Focus,,,
,બહું,,,,,,,
,નાનાં,,,,,,,
,ગણાય,,,,,,,
,.,,,,,,,
,,,,,,,,
31,એ,,,,,,,
,તો,,તો,Focus,Focus,,,
,પોતાનું,,નું,Possessor,Possessor,,,
,ટેબલ,,,,,,,
,છોડે,,,,,,,
,જ,,જ,Focus,Focus,,,
,નહિ,,,,,,,
,પણ,,પણ,`,,,,
,સાહસિકોને,,ને,Recipient,Recipient,,,
,એ,,,,,,,
,આવકારે,,,,,,,
,",",,,,,,,
,એમને,,ને,Recipient,Recipient,,,
,પ્રશ્નો,,,,,,,
,પૂછે,,,,,,,
,અને,,,,,,,
,બધી,,,,,,,
,માહિતી,,,,,,,
,નોંધી,,,,,,,
,લે,,,,,,,
,",",,,,,,,
,અને,,,,,,,
,આ,,,,,,,
,બધી,,,,,,,
,માહિતીમાં,,માં,Topic,Topic,,,
,જો,,,,,,,
,કોઈ,,,,,,,
,રસભરી,,,,,,,
,વાત,,,,,,,
,લાગે,,,,,,,
,તો,,તો,`,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,એ,,,,,,,
,સાહસી,,,,,,,
,માણસના,,ના,Gestalt,Gestalt,,,
,ચારિત્ર્ય,,,,,,,
,વિષે,,વિષે,Topic,Topic,,,
,તપાસ,,,,,,,
,કરાવડાવે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
32,“,,,,,,,
,એમ,,,,,,,
,કેમ,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
33,“,,,,,,,
,કારણ,,,,,,,
,કે,,,,,,,
,જો,,,,,,,
,કોઈ,,,,,,,
,સાહસિક,,,,,,,
,કશુંક,,,,,,,
,જુઠ્ઠાણું,,,,,,,
,કહે,,,,,,,
,તો,,તો,`,,,,
,એનાથી,,થી,Explanation,Explanation,,,
,ખગોળશાસ્ત્રીની,,ની,Originator,Gestalt,,,
,ચોપડીમાં,,માં,Theme,Theme,,,
,તો,,તો,Focus,Focus,,,
,કેર,,,,,,,
,વર્તાઈ,,,,,,,
,જાય,,,,,,,
,.,,,,,,,
,,,,,,,,
34,અધધધ,,,,,,,
,...,,,,,,,
,કેટકેટલી,,,,,,,
,ભૂલો,,,,,,,
,થઈ,,,,,,,
,જાય,,,,,,,
,!,,,,,,,
,એ,,,,,,,
,જ,,જ,Focus,Focus,,,
,રીતે,,રીતે,Manner,Manner,,,
,કોઈ,,,,,,,
,સાહસી,,,,,,,
,દારૂડિયો,,,,,,,
,હોય,,,,,,,
,તો,,તો,`,,,,
,પણ,,પણ,Focus,Focus,,,
,આવી,,,,,,,
,ભૂલો,,,,,,,
,કરીને,,,,,,,
,ખગોળશાસ્ત્રીને,,ને,Theme,Theme,,,
,તો,,તો,Focus,Focus,,,
,ખાડામાં,,માં,Goal,Locus,,,
,જ,,જ,Focus,Focus,,,
,નાખે,,,,,,,
,ને,,,,,,,
,!,,,,,,,
,”,,,,,,,
,,,,,,,,
35,"""",,,,,,,
,કેવી,,,,,,,
,રીતે,,રીતે,Manner,Manner,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
36,“,,,,,,,
,કારણ,,,,,,,
,કે,,,,,,,
,નશો,,,,,,,
,કરેલા,,,,,,,
,માણસને,,ને,Experiencer,Recipient,,,
,બધું,,,,,,,
,બબ્બે,,,,,,,
,દેખાય,,,,,,,
,.,,,,,,,
,,,,,,,,
37,એટલે,,,,,,,
,પછી,,,,,,,
,તો,,તો,`,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,જ્યાં,,,,,,,
,એક,,,,,,,
,જ,,જ,Focus,Focus,,,
,પર્વત,,,,,,,
,હોય,,,,,,,
,ત્યાં,,,,,,,
,બેની,,ની,Topic,Topic,,,
,નોંધ,,,,,,,
,કરે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
38,“,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,એવા,,,,,,,
,એક,,,,,,,
,માણસની,,ની,Stimulus,Theme,,,
,ખબર,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,“,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
39,“,,,,,,,
,એ,,,,,,,
,શક્ય,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
40,પછી,,,,,,,
,જો,,,,,,,
,એ,,,,,,,
,શોધક,,,,,,,
,-,,,,,,,
,સાહસિકનું,,નું,Gestalt,Gestalt,,,
,ચારિત્ર્ય,,,,,,,
,સારું,,,,,,,
,નીકળે,,,,,,,
,તો,,તો,`,,,,
,એની,,ની,Theme,Theme,,,
,શોધ,,,,,,,
,વિષે,,વિષે,Topic,Topic,,,
,તપાસ,,,,,,,
,કરવામાં,,માં,Circumstance,Circumstance,,,
,આવે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
41,“,,,,,,,
,એટલે,,,,,,,
,કે,,,,,,,
,કોઈ,,,,,,,
,પેલા,,,,,,,
,પર્વતો,,,,,,,
,",",,,,,,,
,શહેરો,,,,,,,
,વગેરે,,,,,,,
,જોવા,,,,,,,
,જાય,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
42,“,,,,,,,
,ના,,,,,,,
,ના,,,,,,,
,.,,,,,,,
,,,,,,,,
43,એ,,,,,,,
,બધું,,,,,,,
,તો,,તો,Focus,Focus,,,
,બહું,,,,,,,
,અઘરૂં,,,,,,,
,કહેવાય,,,,,,,
,પણ,,પણ,`,,,,
,શોધકને,,ને,Recipient,Recipient,,,
,પુરાવા,,,,,,,
,આપવાનું,,નું,Purpose,Purpose,,,
,કહેવામાં,,,,,,,
,આવે,,,,,,,
,.,,,,,,,
,,,,,,,,
44,જેમ,,,,,,,
,કે,,,,,,,
,",",,,,,,,
,જો,,,,,,,
,શોધ,,,,,,,
,કોઈ,,,,,,,
,મોટા,,,,,,,
,પર્વતને,,ને,Topic,Topic,1:1,,
,લગતી,,લગતી,,,1:2,,
,હોય,,,,,,,
,તો,,તો,`,,,,
,એ,,,,,,,
,શોધકે,,એ,Agent,Agent,,,
,એક,,,,,,,
,મોટો,,,,,,,
,પથ્થર,,,,,,,
,ત્યાંથી,,થી,Source,Source,,,
,પુરાવા,,,,,,,
,તરીકે,,તરીકે,ComparisonRef,ComparisonRef,,,Exemplification
,લાવવો,,,,,,,
,પડે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
45,આમ,,,,,,,
,કહેતાં,,,,,,,
,કહેતાં,,,,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,તો,,તો,Focus,Focus,,,
,જબરા,,,,,,,
,આવેશમાં,,માં,Circumstance,Circumstance,,,
,આવી,,,,,,,
,ગયા,,,,,,,
,.,,,,,,,
,,,,,,,,
46,“,,,,,,,
,પણ,,પણ,`,,,,
,તું,,,,,,,
,--,,,,,,,
,તું,,,,,,,
,તો,,તો,Focus,Focus,,,
,ખૂબ,,,,,,,
,દૂરના,,ના,Characteristic,Characteristic,,,
,પ્રદેશમાંથી,,માંથી,Source,Source,,,
,આવે,,,,,,,
,છે,,,,,,,
,!,,,,,,,
,તું,,,,,,,
,તો,,તો,Focus,Focus,,,
,સાહસિક,,,,,,,
,છે,,,,,,,
,જ,,જ,Focus,Focus,,,
,.,,,,,,,
,,,,,,,,
47,તારા,,ના,Gestalt,Gestalt,,,
,ગ્રહનું,,નું,Topic,Topic,,,
,વર્ણન,,,,,,,
,કર,,,,,,,
,.,,,,,,,
,,,,,,,,
48,અને,,,,,,,
,",",,,,,,,
,એનો,,નો,Possessor,Possessor,,,
,મોટોમસ,,,,,,,
,ચોપડો,,,,,,,
,ખોલીને,,,,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,લખવાની,,,,,,,
,તૈયારી,,,,,,,
,કરવા,,,,,,,
,માંડી,,,,,,,
,.,,,,,,,
,,,,,,,,
49,પેન્સિલની,,ની,Whole,Whole,,,
,ધાર,,,,,,,
,તીક્ષ્ણ,,,,,,,
,કરી,,,,,,,
,.,,,,,,,
,,,,,,,,
50,શોધક,,,,,,,
,જે,,,,,,,
,કાંઇ,,,,,,,
,કહે,,,,,,,
,એ,,,,,,,
,પહેલાં,,,,,,,
,તો,,તો,Focus,Focus,,,
,પેન્સિલથી,,થી,Instrument,Instrument,,,
,જ,,જ,Focus,Focus,,,
,લખાય,,,,,,,
,.,,,,,,,
,,,,,,,,
51,પછી,,,,,,,
,જ્યારે,,,,,,,
,શોધક,,,,,,,
,પુરાવા,,,,,,,
,બતાવે,,,,,,,
,ત્યારે,,,,,,,
,જ,,જ,Focus,Focus,,,
,બધી,,,,,,,
,માહિતી,,,,,,,
,શાહીમાં,,માં,Means,Means,,,Means?
,લખાય,,,,,,,
,.,,,,,,,
,,,,,,,,
52,“,,,,,,,
,કહેવા,,,,,,,
,માંડો,,,,,,,
,“,,,,,,,
,",",,,,,,,
,ખગોળશાસ્ત્રીએ,,એ,Originator,Agent,,,
,રાજકુમારને,,ને,Recipient,Recipient,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
53,“,,,,,,,
,ખરૂં,,,,,,,
,કહું,,,,,,,
,તો,,તો,`,,,,
,હું,,,,,,,
,જ્યાં,,,,,,,
,રહું,,,,,,,
,છું,,,,,,,
,એ,,,,,,,
,ગ્રહ,,,,,,,
,કાંઈ,,,,,,,
,બહુ,,,,,,,
,મઝા,,,,,,,
,પડે,,,,,,,
,એવો,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
54,એક,,,,,,,
,તો,,તો,Focus,Focus,,,
,એ,,,,,,,
,બહુ,,,,,,,
,નાનો,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
55,એના,,ના,Locus,Locus,1:1,,
,પર,,પર,,,1:2,,
,ત્રણ,,,,,,,
,જ્વાળામુખીઓ,,,,,,,
,છે,,,,,,,
,--,,,,,,,
,એમાંના,,માંના,Whole,Whole,,,
,બે,,,,,,,
,સતત,,,,,,,
,બળ્યા,,,,,,,
,કરે,,,,,,,
,છે,,,,,,,
,અને,,,,,,,
,ત્રીજો,,,,,,,
,ઓલવાઇ,,,,,,,
,ગયો,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
56,આમ,,,,,,,
,તો,,તો,Focus,Focus,,,
,એ,,,,,,,
,બળીબળીને,,,,,,,
,ખલાસ,,,,,,,
,થઇ,,,,,,,
,ગયો,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
57,મરી,,,,,,,
,ગયો,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
58,પણ,,પણ,`,,,,
,કાંઇ,,,,,,,
,કહેવાય,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
59,“,,,,,,,
,હા,,,,,,,
,",",,,,,,,
,કાંઈ,,,,,,,
,કહેવાય,,,,,,,
,નહીં,,,,,,,
,“,,,,,,,
,",",,,,,,,
,ખગોળશાસ્ત્રીએ,,એ,Originator,Agent,,,
,દોહરાવ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
60,“,,,,,,,
,ત્યાં,,,,,,,
,મારું,,નું,Possessor,Possessor,,,
,એક,,,,,,,
,ફૂલ,,,,,,,
,પણ,,પણ,Focus,Focus,,,
,છે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
61,“,,,,,,,
,અમે,,,,,,,
,ફૂલોની,,ની,Topic,Topic,,,
,નોંધણી,,,,,,,
,નથી,,,,,,,
,કરતા,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
62,“,,,,,,,
,કેમ,,,,,,,
,એમ,,,,,,,
,?,,,,,,,
,ફૂલો,,,,,,,
,તો,,તો,Focus,Focus,,,
,મારા,,ના,Gestalt,Gestalt,,,
,ગ્રહની,,ની,Topic,Topic,,,
,સૌથી,,થી,ComparisonRef,ComparisonRef,,,
,સુંદર,,,,,,,
,વસ્તુ,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
63,“,,,,,,,
,અમે,,,,,,,
,એમની,,ની,Topic,Topic,,,
,નોંધણી,,,,,,,
,નથી,,,,,,,
,કરતા,,,,,,,
,કારણ,,,,,,,
,કે,,,,,,,
,એ,,,,,,,
,શાશ્વત,,,,,,,
,નથી,,,,,,,
,“,,,,,,,
,",",,,,,,,
,ખગોળશાસ્ત્રીએ,,એ,Originator,Agent,,,
,સમજાવ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
64,“,,,,,,,
,શાશ્વત,,,,,,,
,એટલે,,,,,,,
,શું,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
65,“,,,,,,,
,ખગોળશાસ્ત્રની,,ની,Originator,Gestalt,,,
,ચોપડીઓમાં,,માં,Theme,Theme,,,
,માત્ર,,,,,,,
,મહત્ત્વની,,ની,Characteristic,Identity,,,
,વસ્તુઓ,,,,,,,
,અને,,,,,,,
,બાબતોની,,ની,Topic,Topic,,,
,નોંધ,,,,,,,
,થાય,,,,,,,
,.,,,,,,,
,,,,,,,,
66,આવી,,,,,,,
,બાબતો,,,,,,,
,ક્યારેય,,ય,Focus,Focus,,,
,જૂની,,,,,,,
,ન,,,,,,,
,થાય,,,,,,,
,.,,,,,,,
,,,,,,,,
67,પર્વતો,,,,,,,
,ભાગ્યે,,,,,,,
,જ,,જ,Focus,Focus,,,
,એમની,,ની,Gestalt,Gestalt,,,
,જગ્યા,,,,,,,
,બદલે,,,,,,,
,.,,,,,,,
,,,,,,,,
68,અથવા,,,,,,,
,",",,,,,,,
,સમુદ્ર,,,,,,,
,ભાગ્યે,,,,,,,
,જ,,જ,Focus,Focus,,,
,સૂકાઇ,,,,,,,
,જાય,,,,,,,
,.,,,,,,,
,,,,,,,,
69,અમે,,,,,,,
,આવી,,,,,,,
,શાશ્વત,,,,,,,
,બાબતોની,,ની,Topic,Topic,,,
,જ,,જ,Focus,Focus,,,
,નોંધ,,,,,,,
,કરીએ,,,,,,,
,છીએ,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
70,“,,,,,,,
,પણ,,,,,,,
,મૃત,,,,,,,
,જ્વાળામુખીમાં,,માં,Goal,Locus,,,
,ક્યારેક,,,,,,,
,જીવ,,,,,,,
,આવી,,,,,,,
,શકે,,,,,,,
,છે,,,,,,,
,“,,,,,,,
,",",,,,,,,
,પછી,,,,,,,
,",",,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,વચ્ચે,,વચ્ચે,Circumstance,Locus,,,
,જ,,જ,Focus,Focus,,,
,પૂછ્યું,,,,,,,
,",",,,,,,,
,“,,,,,,,
,આ,,,,,,,
,શાશ્વત,,,,,,,
,એટલે,,,,,,,
,શું,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
71,“,,,,,,,
,જ્વાળામુખી,,,,,,,
,મરેલો,,,,,,,
,હોય,,,,,,,
,કે,,,,,,,
,જીવતો,,,,,,,
,",",,,,,,,
,અમારે,,ને,Circumstance,Circumstance,1:1,,
,માટે,,માટે,,,1:2,,
,તો,,તો,Focus,Focus,,,
,સરખું,,,,,,,
,જ,,જ,Focus,Focus,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
72,હા,,,,,,,
,",",,,,,,,
,પર્વતની,,ની,Stimulus,Theme,,,
,અમારે,,ને,Experiencer,Recipient,,,
,મન,,,,,,,
,કિમત,,,,,,,
,ખરી,,,,,,,
,.,,,,,,,
,,,,,,,,
73,એ,,,,,,,
,બદલાતો,,,,,,,
,નથી,,,,,,,
,“,,,,,,,
,",",,,,,,,
,ખગોળશાસ્ત્રીએ,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
74,“,,,,,,,
,પણ,,પણ,Focus,Focus,,,
,‘શાશ્વત’,,,,,,,
,એટલે,,,,,,,
,શું,,,,,,,
,?,,,,,,,
,“,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,
,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
75,એકવાર,,,,,,,
,એના,,ના,Whole,Whole,,,
,મનમાં,,માં,Goal,Locus,,,
,કોઇ,,,,,,,
,પ્રશ્ન,,,,,,,
,ઘૂસી,,,,,,,
,જાય,,,,,,,
,પછી,,,,,,,
,એનો,,નો,Topic,Topic,,,
,જવાબ,,,,,,,
,મેળવ્યા,,,,,,,
,વગર,,વગર,Circumstance,Circumstance,,,
,એને,,ને,Experiencer,Recipient,,,
,ચેન,,,,,,,
,પડતું,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,,,,,,,,
76,“,,,,,,,
,એટલે,,,,,,,
,જે,,,,,,,
,ક્યારેય,,ય,Focus,Focus,,,
,મરે,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
77,“,,,,,,,
,એટલે,,,,,,,
,કે,,,,,,,
,શું,,,,,,,
,મારું,,નું,Possessor,Possessor,,,
,ફૂલ,,,,,,,
,મરી,,,,,,,
,જશે,,,,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
78,“,,,,,,,
,હાસ્તો,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
79,“,,,,,,,
,મારું,,નું,Possessor,Possessor,,,
,ફૂલ,,,,,,,
,શાશ્વત,,,,,,,
,નથી,,,,,,,
,",",,,,,,,
,બરાબર,,,,,,,
,.,,,,,,,
,,,,,,,,
80,એની,,ની,Possessor,Locus,1:1,,
,પાસે,,પાસે,,,1:2,,
,પોતાની,,ની,Theme,Theme,,,
,રક્ષા,,,,,,,
,કરવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,માત્ર,,,,,,,
,ચાર,,,,,,,
,કાંટા,,,,,,,
,જ,,જ,Focus,Focus,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
81,અને,,,,,,,
,હું,,,,,,,
,એને,,ને,Theme,Theme,,,
,આખાય,,ય,Focus,Focus,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,એકલું,,,,,,,
,જ,,જ,Focus,Focus,,,
,છોડીને,,,,,,,
,આવ્યો,,,,,,,
,છું,,,,,,,
,“,,,,,,,
,આમ,,,,,,,
