Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Hindi Verification,Verification Notes,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,હવે,,,,,,,,,,,,,,,
,મારી,,ની,Experiencer,Gestalt,,,,0,,,,,,,
,ઉદાસીનતા,,,,,,,,,,,,,,,
,થોડીક,,,,,,,,,,,,,,,
,હળવી,,,,,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,જો,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,પૂરેપૂરી,,,,,,,,,,,,,,,
,ગઈ,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,ખાતરી,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,સુર્યોદય,,,,,,,,,,,,,,,
,થતાં,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,એના,,ના,Gestalt,Gestalt,,,,5,"Semantic Difference ""his house"" vs ""his planet""",,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પ૨,,પર,Goal,Locus,,,,0,,,,,,,
,પાછો,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,ન,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,કારણ,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,સવારે,,એ,Time,Time,,,,,,,,,,,
,એનું,,નું,Whole,Whole,,,,3,Different in assumption. Hindi Annotation chooses to have Whole as a function,,,,,,
,શરીર,,,,,,,,,,,,,,,
,દેખાયું,,,,,,,,,,,,,,,
,ન,,,,,,,,,,,,,,,
,હતું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,આમ,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,શરીરનું,,નું,Gestalt,Gestalt,,,,0,,,,,,,
,વજન,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,શું,,,,,,,,,,,,,,,
,હતું,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,હવે,,,,,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,રાત્રે,,એ,Time,Time,,,,1,,,,,,,
,તારલાઓ,,,,,,,,,,,,,,,
,જોવા,,,,,,,,,,,,,,,
,ગમે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10,પાંચસો,,,,,,,,,,,,,,,
,લાખ,,,,,,,,,,,,,,,
,નાનકડી,,,,,,,,,,,,,,,
,મીઠી,,,,,,,,,,,,,,,
,ઘંટડીઓનો,,નો,Gestalt,Gestalt,,,,1,,,,,,,
,રણકાર,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11,પણ,,પણ,`,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,અસાધારણ,,,,,,,,,,,,,,,
,વાત,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,
,મેં,,એ,Originator,Agent,,,,1,,,,,,,
,નાનકડા,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,માટે,,માટે,Beneficiary,Beneficiary,,,,0,,,,,,,
,ચિત્રો,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,દોર્યા,,,,,,,,,,,,,,,
,પણ,,પણ,`,,,,,,,,,,,,
,એને,,ને,Beneficiary,Beneficiary,1:1,,,1,,,,,,,
,માટે,,માટે,,,1:2,,,,,,,,,,
,ચામડાનો,,નો,Stuff,Stuff,,,,1,,,,,,,
,પટ્ટો,,,,,,,,,,,,,,,
,દોરવાનું,,નું,Topic,Topic,,,,0,,,,,,,
,ભૂલી,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,એના,,ના,Possessor,Possessor,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,ઘેટાને,,ને,Theme,Theme,,,,0,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,ક્યારેય,,,,,,,,,,,,,,,
,બાંધી,,,,,,,,,,,,,,,
,શક્યો,,,,,,,,,,,,,,,
,નહીં,,,,,,,,,,,,,,,
,હોય,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,એટલે,,,,,,,,,,,,,,,
,હવે,,,,,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,થયા,,,,,,,,,,,,,,,
,કરે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,:,,,,,,,,,,,,,,,
,એના,,ના,Gestalt,Gestalt,,,,0,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,0,,,,,,,
,શું,,,,,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,રહ્યું,,,,,,,,,,,,,,,
,હશે,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,કદાચ,,,,,,,,,,,,,,,
,ઘેટું,,,,,,,,,,,,,,,
,પેલા,,,,,,,,,,,,,,,
,ફૂલને,,ને,Theme,Theme,,,,0,,,,,,,
,ખાઈ,,,,,,,,,,,,,,,
,ગયું,,,,,,,,,,,,,,,
,હશે,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,A huge amount of sentences(10) are missing in between these two lines,,,,,,
15,આ,,,,,,,,,,,,,,,
,મારે,,એ,Experiencer,Agent,,,,5,Erg vs Gen(364),,,,,,
,મન,,,,,,,,,,,,,,,
,દુનિયાનું,,નું,Locus,Whole,,,,4,Locus -> Whole(366),,,,,,
,સૌથી,,,,,,,,,,,,,,,
,સુંદર,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,સૌથી,,,,,,,,,,,,,,,
,વધુ,,,,,,,,,,,,,,,
,ઉદાસી,,,,,,,,,,,,,,,
,દર્શાવતું,,,,,,,,,,,,,,,
,ચિત્ર,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,આમ,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,આગળના,,ના,Characteristic,Characteristic,,,,0,,,,,,,
,ચિત્ર,,,,,,,,,,,,,,,
,જેવું,,જેવું,ComparisonRef,ComparisonRef,,,,0,,,,,,,
,જ,,જ,Focus,Focus,,,,1,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17,પણ,,પણ,`,,,,,,,,,,,,
,તમારી,,ની,Gestalt,Gestalt,,,,5,Gen vs Dat(394),,,,,,
,યાદશક્તિ,,,,,,,,,,,,,,,
,પર,,પર,Theme,Locus,,,,0,,,,,,,
,ઠસાવવા,,,,,,,,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,5,for vs hence(390),,,,,,
,મેં,,એ,Originator,Agent,,,,1,,,,,,,
,એ,,,,,,,,,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,5,again vs properly(396),,,,,,
,દોર્યું,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18,આ,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,જગ્યા,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,જ્યાં,,,,,,,,,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,પૃથ્વી,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,1,,,,,,,
,ઉતર્યો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,અહીંથી,,થી,Source,Source,,,,1,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,અદ્રશ્ય,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
19,આ,,,,,,,,,,,,,,,
,ચિત્રને,,ને,Stimulus,Theme,,,,1,,,,,,,
,ધ્યાનથી,,થી,Manner,Manner,,,,1,,,,,,,
,જુઓ,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,જેથી,,થી,Explanation,Explanation,,,,0,,,,,,,
,કદાચ,,,,,,,,,,,,,,,
,તમે,,,,,,,,,,,,,,,
,ક્યારેક,,,,,,,,,,,,,,,
,અફ્રીકાના,,ના,Identity,Identity,,,,0,,,,,,,
,રણમાંથી,,માંથી,Path,Source,,,,3,Path vs Source for fn. Though the Guj one is a compound postp. which makes it very diff(452),,,,,,
,પસાર,,,,,,,,,,,,,,,
,થાવ,,,,,,,,,,,,,,,
,ત્યારે,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,જગ્યાને,,ને,Theme,Theme,,,,2,Stimulus vs Theme for SR,,,,,,
,ઓળખી,,,,,,,,,,,,,,,
,શકો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20,અને,,,,,,,,,,,,,,,
,જો,,,,,,,,,,,,,,,
,તમે,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,જગ્યા,,,,,,,,,,,,,,,
,પર,,પર,Goal,Locus,,,,0,,,,,,,
,પહોંચી,,,,,,,,,,,,,,,
,શકો,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,પ્રકારની,,ની,Characteristic,Characteristic,,,,0,,,,,,,
,ઉતાવળ,,,,,,,,,,,,,,,
,કરતા,,,,,,,,,,,,,,,
,નહીં,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21,પેલા,,,,,,,,,,,,,,,
,તારલાની,,ની,Locus,Locus,1:1,,,1,,,,,,,
,નીચે,,નીચે,,,1:2,,,,,,,,,,
,થોડોક,,,,,,,,,,,,,,,
,સમય,,,,,,,,,,,,,,,
,રાહ,,,,,,,,,,,,,,,
,જોજો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22,પછી,,,,,,,,,,,,,,,
,સોનેરી,,,,,,,,,,,,,,,
,ઝુલ્ફાંવાળા,,વાળા,Characteristic,Characteristic,,,,0,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,દોસ્ત,,,,,,,,,,,,,,,
,આવીને,,,,,,,,,,,,,,,
,એનું,,નું,Originator,Gestalt,,,,0,,,,,,,
,મીઠું,,,,,,,,,,,,,,,
,સ્મિત,,,,,,,,,,,,,,,
,વેરે,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,તમારા,,ના,Originator,Gestalt,,,,1,,,,,,,
,પ્રશ્નોના,,ના,Topic,Topic,,,,4,This is the most difficult one it seems. The Hindi one says Topic -> Topic (501),,,,,,
,જવાબ,,,,,,,,,,,,,,,
,આપવાનું,,નું,Theme,Theme,,,,,,,,,,,
,ટાળે,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,,,,,,,,
,તમે,,,,,,,,,,,,,,,
,સમજશો,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,કોણ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
23,જો,,,,,,,,,,,,,,,
,આવું,,,,,,,,,,,,,,,
,બને,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,,,,,,,,
,મને,,ને,Recipient,Recipient,,,,0,,,,,,,
,જાણ,,,,,,,,,,,,,,,
,કરજો,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,જેથી,,થી,Explanation,Explanation,,,,0,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,થોડુંક,,,,,,,,,,,,,,,
,સાંત્વન,,,,,,,,,,,,,,,
,મળે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
24,એ,,,,,,,,,,,,,,,
,નાનકડા,,,,,,,,,,,,,,,
,રાજકુમારના,,ના,Theme,Gestalt,,,,0,,,,,,,
,પાછા,,,,,,,,,,,,,,,
,આવ્યાનો,,નો,Theme,Theme,,,,0,,,,,,,
,સંદેશ,,,,,,,,,,,,,,,
,મને,,ને,Recipient,Recipient,,,,0,,,,,,,
,જરૂર,,,,,,,,,,,,,,,
,મોકલજો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25,આ,,,,,,,,,,,,,,,
,મારે,,એ,Experiencer,Agent,,,,,,,,,,,
,મન,,,,,,,,,,,,,,,
,દુનિયાનું,,નું,Locus,Whole,,,,,,,,,,,
,સૌથી,,,,,,,,,,,,,,,
,સુંદર,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,સૌથી,,,,,,,,,,,,,,,
,વધુ,,,,,,,,,,,,,,,
,ઉદાસી,,,,,,,,,,,,,,,
,દર્શાવતું,,,,,,,,,,,,,,,
,ચિત્ર,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
26,આમ,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,આગળના,,ના,Characteristic,Characteristic,,,,,,,,,,,
,ચિત્ર,,,,,,,,,,,,,,,
,જેવું,,જેવું,ComparisonRef,ComparisonRef,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
27,પણ,,પણ,`,,,,,,,,,,,,
,તમારી,,ની,Gestalt,Gestalt,,,,,,,,,,,
,યાદશક્તિ,,,,,,,,,,,,,,,
,પર,,પર,Theme,Locus,,,,,,,,,,,
,ઠસાવવા,,,,,,,,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,,,,,,,,
,મેં,,એ,Originator,Agent,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,,,,,,,,
,દોર્યું,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
28,આ,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,,,,,,,,
,જગ્યા,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,જયાં,,,,,,,,,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,પૃથ્વી,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,,,,,,,,
,ઉતર્યો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,અહીંથી,,થી,Source,Source,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,અદ્રશ્ય,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
